time,co2_emissions,radiative_forcing,temperature,sea_level_rise,slr_antartic_icesheet,slr_glaciers_small_ice_caps,slr_greeland_icesheet,slr_landwater_storage,slr_thermal_expansion
2168,83.44638851273399,12.90997363798691,6.491136124184396,5.034049602414097,1.2401226229558833,0.363252973314582,2.861302346712125,0.04260864264088066,0.526763016790627
2169,82.89822967169293,12.775819127160782,6.454171325858049,5.064032678676133,1.2501607557960943,0.3637442011451428,2.8792751192008295,0.042693824294424546,0.5281587782396423
2170,82.3500708306519,12.657809440316955,6.415350658517498,5.093743751475597,1.2601734305527978,0.36421670236593345,2.8968558941961584,0.04304175409486,0.5294559702658478
2171,81.73582702487468,12.549373190091371,6.376190755521552,5.122730600632427,1.270164087129702,0.36467104155081426,2.914039331896105,0.04317664028977109,0.5306794997660342
2172,81.12158321909746,12.445085826777097,6.337094465820786,5.151457328944643,1.2801296506504847,0.36510787705399245,2.9308309960722854,0.04354634862921872,0.5318424565386609
2173,80.50733941332024,12.344100042510268,6.2982111552775875,5.1796963451205675,1.2900736979627578,0.3655278717316587,2.947239111948625,0.04390391396706121,0.5329517495104653
2174,79.89309560754302,12.29563649560104,6.264214934532696,5.207444935885658,1.2999949774921011,0.365931673394917,2.9632726975089554,0.04419827401083176,0.5340473134788531
2175,79.27885180176582,12.273006506460066,6.236538692563727,5.235041653037491,1.3098956865261855,0.3663201882109312,2.9789718026664653,0.04467570826931146,0.5351782673645973
2176,78.59814176912758,12.210541528310594,6.209716550939984,5.262282662643106,1.319780922318353,0.3666943453797969,2.9943844710878693,0.04509865797452713,0.5363242658825603
2177,77.91743173648933,12.121679996263333,6.18046516769388,5.289011227003631,1.3296497150023354,0.36705469631779386,3.0095211734581433,0.04535191231815704,0.5374337299072012
2178,77.23672170385109,12.006339553474062,6.146851645296999,5.315526761318402,1.3395001355941003,0.36740158961750674,3.024370733153977,0.04578340276703568,0.5384709001857819
2179,76.55601167121284,11.862872096003267,6.107365451777492,5.34145262066729,1.3493327838469296,0.3677352732451632,3.0389100378904894,0.04607081491225378,0.5394037107724539
2180,75.87530163857457,11.718815009600883,6.063431281262456,5.366640257518704,1.3591429859149977,0.3680559321514212,3.0531073890679643,0.04611174203984598,0.5402222083444753
2181,75.12771467345294,11.591679661643044,6.017947488030998,5.391884060505625,1.3689283029626786,0.36836384451068654,3.0669414811850855,0.04670260814370771,0.540947823703466
2182,74.38012770833132,11.475022764315804,5.972446432578391,5.416110998123246,1.37869411368397,0.36865943798326145,3.080410016663228,0.04674151944558292,0.5416059103472037
2183,73.63254074320969,11.363322106344155,5.927335063161587,5.440165669126179,1.3884331588596681,0.3689432017687198,3.0935202967352096,0.04705901322895814,0.542209998533624
2184,72.88495377808806,11.255734061110397,5.8827650483162985,5.463542607910475,1.3981518649177773,0.36921562437956285,3.1062818892969357,0.04712587544247963,0.5427673538737194
